<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.12	12:00:00	0.72117	0.72522	0.72072	0.72494	8168	0	0
2022.01.12	16:00:00	0.72496	0.72855	0.72441	0.72834	11779	0	0
2022.01.12	20:00:00	0.72835	0.72923	0.72782	0.72833	4758	0	0
2022.01.13	00:00:00	0.72818	0.72871	0.72751	0.72763	4248	0	2
2022.01.13	04:00:00	0.72762	0.72926	0.72733	0.72817	3503	0	0
2022.01.13	08:00:00	0.72817	0.73142	0.72806	0.73100	6251	0	0
2022.01.13	12:00:00	0.73101	0.73135	0.72921	0.73064	6615	0	0
2022.01.13	16:00:00	0.73065	0.73128	0.72826	0.72897	11223	0	0
2022.01.13	20:00:00	0.72897	0.72940	0.72739	0.72815	5176	0	0
2022.01.14	00:00:00	0.72786	0.72832	0.72651	0.72677	5050	0	2
2022.01.14	04:00:00	0.72677	0.72876	0.72649	0.72866	5406	0	0
2022.01.14	08:00:00	0.72867	0.72937	0.72684	0.72719	7275	0	0
2022.01.14	12:00:00	0.72696	0.72740	0.72324	0.72375	7912	0	0
2022.01.14	16:00:00	0.72375	0.72532	0.72017	0.72020	15097	0	0
2022.01.14	20:00:00	0.72020	0.72169	0.71985	0.72163	5205	0	0
2022.01.17	00:00:00	0.72112	0.72227	0.71958	0.71970	5024	0	2
2022.01.17	04:00:00	0.71973	0.72154	0.71965	0.72037	4367	0	0
2022.01.17	08:00:00	0.72037	0.72226	0.72003	0.72159	6610	0	0
2022.01.17	12:00:00	0.72159	0.72291	0.72049	0.72129	5370	0	0
2022.01.17	16:00:00	0.72128	0.72193	0.72066	0.72143	6455	0	0
2022.01.17	20:00:00	0.72140	0.72149	0.72090	0.72090	1452	0	0
2022.01.18	00:00:00	0.72064	0.72278	0.72041	0.72252	3358	0	2
2022.01.18	04:00:00	0.72252	0.72263	0.71791	0.71916	8723	0	0
2022.01.18	08:00:00	0.71919	0.72048	0.71820	0.71888	10147	0	0
2022.01.18	12:00:00	0.71887	0.71962	0.71750	0.71877	8180	0	0
2022.01.18	16:00:00	0.71876	0.71951	0.71709	0.71745	13227	0	0
2022.01.18	20:00:00	0.71744	0.71894	0.71700	0.71833	5762	0	0
2022.01.19	00:00:00	0.71827	0.71932	0.71769	0.71866	4991	0	2
2022.01.19	04:00:00	0.71867	0.71957	0.71775	0.71903	6183	0	0
2022.01.19	08:00:00	0.71905	0.72027	0.71785	0.72022	8757	0	0
2022.01.19	12:00:00	0.72022	0.72267	0.71994	0.72235	7652	0	1
2022.01.19	16:00:00	0.72235	0.72383	0.72178	0.72300	12431	0	1
2022.01.19	20:00:00	0.72300	0.72324	0.72096	0.72101	6029	0	1
2022.01.20	00:00:00	0.72088	0.72567	0.72067	0.72377	6918	0	2
2022.01.20	04:00:00	0.72380	0.72408	0.72208	0.72248	6011	0	1
2022.01.20	08:00:00	0.72246	0.72428	0.72240	0.72310	7394	0	1
2022.01.20	12:00:00	0.72310	0.72619	0.72307	0.72582	7504	0	1
2022.01.20	16:00:00	0.72584	0.72763	0.72518	0.72589	10268	0	1
2022.01.20	20:00:00	0.72589	0.72594	0.72182	0.72256	7244	0	1
2022.01.21	00:00:00	0.72225	0.72284	0.71814	0.71996	8246	0	2
2022.01.21	04:00:00	0.71994	0.72056	0.71840	0.71952	9433	0	1
2022.01.21	08:00:00	0.71952	0.71995	0.71834	0.71888	9871	0	1
2022.01.21	12:00:00	0.71887	0.72134	0.71853	0.72116	9614	0	1
2022.01.21	16:00:00	0.72116	0.72146	0.71844	0.71898	18205	0	1
2022.01.21	20:00:00	0.71899	0.71943	0.71714	0.71748	9690	0	1
2022.01.24	00:00:00	0.71715	0.71875	0.71700	0.71823	5197	0	2
2022.01.24	04:00:00	0.71823	0.71873	0.71608	0.71645	5200	0	1
2022.01.24	08:00:00	0.71649	0.71709	0.71474	0.71546	9838	0	1
2022.01.24	12:00:00	0.71546	0.71546	0.71083	0.71087	12181	0	1
2022.01.24	16:00:00	0.71087	0.71189	0.70906	0.71108	23793	0	1
2022.01.24	20:00:00	0.71108	0.71485	0.71089	0.71435	16280	0	1
2022.01.25	00:00:00	0.71435	0.71747	0.71345	0.71526	9344	0	2
2022.01.25	04:00:00	0.71525	0.71534	0.71293	0.71437	8025	0	1
2022.01.25	08:00:00	0.71437	0.71544	0.71331	0.71498	14252	0	1
2022.01.25	12:00:00	0.71499	0.71504	0.71214	0.71315	14480	0	1
2022.01.25	16:00:00	0.71313	0.71551	0.71216	0.71447	25920	0	0
2022.01.25	20:00:00	0.71446	0.71696	0.71420	0.71514	14253	0	1
2022.01.26	00:00:00	0.71519	0.71612	0.71392	0.71601	7307	0	2
2022.01.26	04:00:00	0.71602	0.71655	0.71541	0.71614	6752	0	1
2022.01.26	08:00:00	0.71612	0.71705	0.71522	0.71692	11754	0	1
2022.01.26	12:00:00	0.71693	0.71769	0.71659	0.71689	10289	0	1
2022.01.26	16:00:00	0.71689	0.71712	0.71524	0.71699	18778	0	1
2022.01.26	20:00:00	0.71700	0.71814	0.70955	0.71151	33194	0	1
2022.01.27	00:00:00	0.71137	0.71213	0.70774	0.70819	9583	0	2
2022.01.27	04:00:00	0.70819	0.70871	0.70684	0.70735	14120	0	1
2022.01.27	08:00:00	0.70735	0.70945	0.70630	0.70921	18032	0	1
2022.01.27	12:00:00	0.70920	0.70993	0.70606	0.70790	19087	0	1
2022.01.27	16:00:00	0.70788	0.70888	0.70303	0.70341	24579	0	1
2022.01.27	20:00:00	0.70341	0.70405	0.70238	0.70339	15707	0	1
2022.01.28	00:00:00	0.70339	0.70418	0.70242	0.70414	8382	0	2
2022.01.28	04:00:00	0.70415	0.70458	0.70225	0.70377	10707	0	1
2022.01.28	08:00:00	0.70377	0.70420	0.70006	0.70011	16741	0	1
2022.01.28	12:00:00	0.70011	0.70052	0.69676	0.70001	21063	0	1
2022.01.28	16:00:00	0.70001	0.70080	0.69805	0.69876	26307	0	1
2022.01.28	20:00:00	0.69876	0.69972	0.69749	0.69956	12390	0	1
2022.01.31	00:00:00	0.69890	0.70118	0.69862	0.70099	6883	0	2
2022.01.31	04:00:00	0.70099	0.70234	0.70060	0.70210	5287	0	1
2022.01.31	08:00:00	0.70211	0.70577	0.70199	0.70523	12076	0	1
2022.01.31	12:00:00	0.70524	0.70697	0.70378	0.70673	13189	0	1
2022.01.31	16:00:00	0.70673	0.70765	0.70383	0.70621	19636	0	1
2022.01.31	20:00:00	0.70621	0.70747	0.70603	0.70668	9002	0	1
2022.02.01	00:00:00	0.70642	0.70713	0.70613	0.70628	5217	0	2
2022.02.01	04:00:00	0.70627	0.70733	0.70331	0.70663	8821	0	1
2022.02.01	08:00:00	0.70662	0.70934	0.70546	0.70807	12875	0	1
2022.02.01	12:00:00	0.70807	0.71085	0.70795	0.71030	13188	0	1
2022.02.01	16:00:00	0.71031	0.71176	0.70768	0.71119	22646	0	1
2022.02.01	20:00:00	0.71118	0.71300	0.71102	0.71280	8989	0	1
2022.02.02	00:00:00	0.71272	0.71450	0.71237	0.71343	5153	0	2
2022.02.02	04:00:00	0.71343	0.71463	0.71269	0.71339	5312	0	1
2022.02.02	08:00:00	0.71339	0.71428	0.71228	0.71414	10533	0	1
2022.02.02	12:00:00	0.71416	0.71589	0.71351	0.71355	12559	0	1
2022.02.02	16:00:00	0.71356	0.71467	0.71182	0.71373	19242	0	1
2022.02.02	20:00:00	0.71373	0.71482	0.71311	0.71359	7842	0	1
2022.02.03	00:00:00	0.71328	0.71357	0.71152	0.71223	5219	0	2
2022.02.03	04:00:00	0.71222	0.71299	0.71172	0.71249	5140	0	1
2022.02.03	08:00:00	0.71249	0.71310	0.71144	0.71156	10630	0	1
2022.02.03	12:00:00	0.71156	0.71398	0.71095	0.71329	17918	0	1
2022.02.03	16:00:00	0.71332	0.71683	0.71316	0.71410	26702	0	1
2022.02.03	20:00:00	0.71413	0.71460	0.71251	0.71397	8699	0	1
2022.02.04	00:00:00	0.71352	0.71479	0.71303	0.71344	5403	0	2
2022.02.04	04:00:00	0.71343	0.71515	0.71322	0.71418	5026	0	1
2022.02.04	08:00:00	0.71420	0.71421	0.71036	0.71108	11574	0	1
2022.02.04	12:00:00	0.71108	0.71116	0.70528	0.70552	14908	0	1
2022.02.04	16:00:00	0.70553	0.70770	0.70516	0.70673	18054	0	1
2022.02.04	20:00:00	0.70677	0.70824	0.70671	0.70775	6709	0	1
2022.02.07	00:00:00	0.70727	0.70848	0.70687	0.70779	5332	0	2
2022.02.07	04:00:00	0.70779	0.70914	0.70651	0.70840	4951	0	1
2022.02.07	08:00:00	0.70844	0.71059	0.70836	0.70962	9436	0	1
2022.02.07	12:00:00	0.70962	0.71136	0.70879	0.71096	8238	0	1
2022.02.07	16:00:00	0.71096	0.71223	0.70988	0.71078	11028	0	1
2022.02.07	20:00:00	0.71077	0.71302	0.71076	0.71256	4014	0	1
2022.02.08	00:00:00	0.71244	0.71378	0.71143	0.71366	4449	0	2
2022.02.08	04:00:00	0.71366	0.71376	0.71064	0.71128	4301	0	2
2022.02.08	08:00:00	0.71126	0.71378	0.71089	0.71356	7829	0	1
2022.02.08	12:00:00	0.71355	0.71355	0.71125	0.71247	7394	0	1
2022.02.08	16:00:00	0.71247	0.71375	0.71207	0.71338	10089	0	1
2022.02.08	20:00:00	0.71338	0.71466	0.71273	0.71454	4508	0	1
2022.02.09	00:00:00	0.71441	0.71574	0.71416	0.71557	3231	0	2
2022.02.09	04:00:00	0.71558	0.71677	0.71525	0.71586	3702	0	1
2022.02.09	08:00:00	0.71585	0.71691	0.71452	0.71631	6144	0	1
2022.02.09	12:00:00	0.71631	0.71847	0.71627	0.71789	6116	0	1
2022.02.09	16:00:00	0.71789	0.71946	0.71771	0.71836	8541	0	1
2022.02.09	20:00:00	0.71836	0.71855	0.71771	0.71783	3231	0	0
2022.02.10	00:00:00	0.71764	0.71800	0.71661	0.71670	3253	0	2
2022.02.10	04:00:00	0.71670	0.71778	0.71605	0.71722	3221	0	1
2022.02.10	08:00:00	0.71724	0.71947	0.71687	0.71881	5672	0	1
2022.02.10	12:00:00	0.71881	0.72036	0.71468	0.71644	10497	0	1
2022.02.10	16:00:00	0.71644	0.72487	0.71509	0.72154	22939	0	1
2022.02.10	20:00:00	0.72154	0.72226	0.71526	0.71664	17942	0	1
2022.02.11	00:00:00	0.71646	0.71696	0.71328	0.71498	6891	0	2
2022.02.11	04:00:00	0.71498	0.71502	0.71119	0.71184	6759	0	1
2022.02.11	08:00:00	0.71184	0.71388	0.71084	0.71251	10671	0	1
2022.02.11	12:00:00	0.71251	0.71708	0.71184	0.71592	8962	0	1
2022.02.11	16:00:00	0.71592	0.71848	0.71570	0.71796	15127	0	1
2022.02.11	20:00:00	0.71797	0.71822	0.71214	0.71359	32258	0	1
2022.02.14	00:00:00	0.71275	0.71500	0.71247	0.71259	7705	0	2
2022.02.14	04:00:00	0.71259	0.71268	0.71150	0.71238	5885	0	1
2022.02.14	08:00:00	0.71239	0.71322	0.70861	0.70961	13614	0	1
2022.02.14	12:00:00	0.70960	0.71343	0.70914	0.71137	17710	0	1
2022.02.14	16:00:00	0.71137	0.71395	0.71104	0.71385	18601	0	1
2022.02.14	20:00:00	0.71384	0.71422	0.71091	0.71263	14659	0	1
2022.02.15	00:00:00	0.71235	0.71373	0.71214	0.71284	5001	0	2
2022.02.15	04:00:00	0.71285	0.71400	0.71039	0.71044	5865	0	1
2022.02.15	08:00:00	0.71042	0.71562	0.71017	0.71436	14572	0	1
2022.02.15	12:00:00	0.71435	0.71472	0.71305	0.71447	11779	0	1
2022.02.15	16:00:00	0.71447	0.71513	0.71142	0.71452	13888	0	1
2022.02.15	20:00:00	0.71458	0.71549	0.71415	0.71510	4695	0	0
2022.02.16	00:00:00	0.71511	0.71547	0.71432	0.71498	3357	0	2
2022.02.16	04:00:00	0.71497	0.71616	0.71481	0.71580	3569	0	1
2022.02.16	08:00:00	0.71580	0.71840	0.71574	0.71730	8899	0	1
2022.02.16	12:00:00	0.71731	0.71805	0.71597	0.71630	8314	0	1
2022.02.16	16:00:00	0.71630	0.71867	0.71571	0.71815	12675	0	1
2022.02.16	20:00:00	0.71815	0.72048	0.71716	0.71939	13096	0	1
2022.02.17	00:00:00	0.71924	0.72109	0.71905	0.72062	6558	0	2
2022.02.17	04:00:00	0.72061	0.72151	0.71495	0.71865	16459	0	1
2022.02.17	08:00:00	0.71865	0.72141	0.71802	0.71951	18622	0	1
2022.02.17	12:00:00	0.71951	0.72174	0.71922	0.72019	11837	0	1
2022.02.17	16:00:00	0.72019	0.72166	0.71874	0.71968	19043	0	1
2022.02.17	20:00:00	0.71968	0.72028	0.71825	0.71863	6652	0	1
2022.02.18	00:00:00	0.71843	0.72008	0.71766	0.71939	6127	0	2
2022.02.18	04:00:00	0.71939	0.72089	0.71916	0.72023	6827	0	1
2022.02.18	08:00:00	0.72022	0.72278	0.71976	0.72150	10135	0	1
2022.02.18	12:00:00	0.72150	0.72186	0.71982	0.72066	11637	0	1
2022.02.18	16:00:00	0.72066	0.72095	0.71647	0.71683	21137	0	1
2022.02.18	20:00:00	0.71683	0.71912	0.71680	0.71775	9591	0	1
2022.02.21	00:00:00	0.71685	0.72025	0.71663	0.71971	8746	0	2
2022.02.21	04:00:00	0.71972	0.72212	0.71940	0.72125	8259	0	1
2022.02.21	08:00:00	0.72125	0.72223	0.72054	0.72153	10415	0	1
2022.02.21	12:00:00	0.72153	0.72167	0.71920	0.72048	13195	0	1
2022.02.21	16:00:00	0.72048	0.72199	0.71987	0.72065	13809	0	1
2022.02.21	20:00:00	0.72065	0.72096	0.71861	0.71888	3438	0	1
2022.02.22	00:00:00	0.71867	0.72010	0.71715	0.71912	9352	0	2
2022.02.22	04:00:00	0.71910	0.72117	0.71831	0.72055	9722	0	1
2022.02.22	08:00:00	0.72053	0.72187	0.71917	0.72074	17591	0	1
2022.02.22	12:00:00	0.72075	0.72332	0.72052	0.72154	16841	0	1
2022.02.22	16:00:00	0.72153	0.72333	0.72068	0.72181	17045	0	1
2022.02.22	20:00:00	0.72182	0.72269	0.72029	0.72186	16581	0	1
2022.02.23	00:00:00	0.72160	0.72361	0.72152	0.72340	6921	0	2
2022.02.23	04:00:00	0.72339	0.72407	0.72206	0.72313	6696	0	1
2022.02.23	08:00:00	0.72315	0.72673	0.72292	0.72646	10225	0	1
2022.02.23	12:00:00	0.72646	0.72835	0.72549	0.72826	9791	0	1
2022.02.23	16:00:00	0.72826	0.72835	0.72329	0.72441	16112	0	1
2022.02.23	20:00:00	0.72441	0.72442	0.72268	0.72337	10027	0	1
2022.02.24	00:00:00	0.72312	0.72324	0.72019	0.72143	9795	0	2
2022.02.24	04:00:00	0.72144	0.72162	0.71680	0.71938	29785	0	1
2022.02.24	08:00:00	0.71939	0.72009	0.71714	0.71739	31875	0	1
2022.02.24	12:00:00	0.71740	0.71853	0.71513	0.71522	26303	0	1
2022.02.24	16:00:00	0.71521	0.71591	0.70945	0.71399	31510	0	1
2022.02.24	20:00:00	0.71398	0.71782	0.71352	0.71624	24697	0	1
2022.02.25	00:00:00	0.71621	0.71790	0.71396	0.71727	13037	0	2
2022.02.25	04:00:00	0.71725	0.72036	0.71660	0.71983	13960	0	1
2022.02.25	08:00:00	0.71986	0.72114	0.71841	0.71991	20632	0	1
2022.02.25	12:00:00	0.71990	0.72325	0.71868	0.72295	21075	0	1
2022.02.25	16:00:00	0.72295	0.72375	0.72069	0.72096	22868	0	1
2022.02.25	20:00:00	0.72095	0.72357	0.72095	0.72317	10701	0	1
2022.02.28	00:00:00	0.71790	0.71938	0.71680	0.71811	19555	0	2
2022.02.28	04:00:00	0.71812	0.71853	0.71674	0.71824	13511	0	1
2022.02.28	08:00:00	0.71824	0.72060	0.71818	0.72000	19535	0	1
2022.02.28	12:00:00	0.72000	0.72316	0.71995	0.72315	17356	0	1
2022.02.28	16:00:00	0.72315	0.72643	0.72289	0.72516	20912	0	1
2022.02.28	20:00:00	0.72516	0.72653	0.72438	0.72620	11125	0	1
2022.03.01	00:00:00	0.72598	0.72671	0.72525	0.72599	5036	0	2
2022.03.01	04:00:00	0.72600	0.72673	0.72462	0.72642	6030	0	1
2022.03.01	08:00:00	0.72641	0.72895	0.72629	0.72739	13444	0	1
2022.03.01	12:00:00	0.72738	0.72797	0.72605	0.72726	17763	0	1
2022.03.01	16:00:00	0.72725	0.72776	0.72418	0.72522	22891	0	1
2022.03.01	20:00:00	0.72522	0.72628	0.72380	0.72518	15113	0	1
2022.03.02	00:00:00	0.72504	0.72762	0.72478	0.72739	5770	0	2
2022.03.02	04:00:00	0.72738	0.72824	0.72638	0.72687	6213	0	1
2022.03.02	08:00:00	0.72686	0.72712	0.72433	0.72578	20903	0	1
2022.03.02	12:00:00	0.72572	0.72747	0.72525	0.72724	16307	0	1
2022.03.02	16:00:00	0.72724	0.72910	0.72471	0.72830	28127	0	1
2022.03.02	20:00:00	0.72830	0.73067	0.72828	0.72963	10807	0	1
2022.03.03	00:00:00	0.72951	0.72970	0.72827	0.72856	5731	0	2
2022.03.03	04:00:00	0.72856	0.73069	0.72761	0.73055	6424	0	1
2022.03.03	08:00:00	0.73055	0.73234	0.72926	0.72994	12133	0	1
2022.03.03	12:00:00	0.72993	0.73224	0.72955	0.73205	12820	0	1
2022.03.03	16:00:00	0.73207	0.73477	0.73017	0.73182	24932	0	1
2022.03.03	20:00:00	0.73181	0.73321	0.73136	0.73286	11430	0	1
2022.03.04	00:00:00	0.73259	0.73389	0.73002	0.73279	15264	0	2
2022.03.04	04:00:00	0.73280	0.73627	0.73232	0.73546	12863	0	1
2022.03.04	08:00:00	0.73546	0.73750	0.73444	0.73508	13463	0	1
2022.03.04	12:00:00	0.73507	0.73678	0.73216	0.73394	18227	0	1
2022.03.04	16:00:00	0.73395	0.73758	0.73139	0.73732	21666	0	1
2022.03.04	20:00:00	0.73731	0.73806	0.73648	0.73739	12018	0	1
2022.03.07	00:00:00	0.73702	0.74413	0.73543	0.74262	16098	0	2
2022.03.07	04:00:00	0.74261	0.74261	0.73991	0.74159	14604	0	1
2022.03.07	08:00:00	0.74157	0.74299	0.73944	0.74034	21835	0	1
2022.03.07	12:00:00	0.74034	0.74143	0.73732	0.73739	26349	0	1
2022.03.07	16:00:00	0.73740	0.73769	0.73114	0.73175	30613	0	1
2022.03.07	20:00:00	0.73173	0.73341	0.73126	0.73163	15825	0	1
2022.03.08	00:00:00	0.73124	0.73455	0.73091	0.73374	7865	0	2
2022.03.08	04:00:00	0.73374	0.73481	0.72763	0.72833	12790	0	1
2022.03.08	08:00:00	0.72836	0.72960	0.72671	0.72919	25281	0	1
2022.03.08	12:00:00	0.72923	0.73050	0.72723	0.72827	19078	0	1
2022.03.08	16:00:00	0.72826	0.72953	0.72451	0.72784	32898	0	1
2022.03.08	20:00:00	0.72782	0.72871	0.72627	0.72695	22394	0	1
2022.03.09	00:00:00	0.72658	0.72834	0.72610	0.72765	7559	0	2
2022.03.09	04:00:00	0.72764	0.72863	0.72665	0.72755	9061	0	1
2022.03.09	08:00:00	0.72755	0.73239	0.72755	0.73236	15915	0	1
2022.03.09	12:00:00	0.73235	0.73372	0.73196	0.73274	14183	0	1
2022.03.09	16:00:00	0.73274	0.73365	0.73136	0.73206	22745	0	1
2022.03.09	20:00:00	0.73206	0.73306	0.73126	0.73213	8460	0	1
2022.03.10	00:00:00	0.73179	0.73215	0.72873	0.72946	6297	0	2
2022.03.10	04:00:00	0.72948	0.73269	0.72924	0.73213	6935	0	1
2022.03.10	08:00:00	0.73215	0.73461	0.73177	0.73372	18763	0	1
2022.03.10	12:00:00	0.73372	0.73593	0.73275	0.73469	20277	0	1
2022.03.10	16:00:00	0.73467	0.73642	0.73338	0.73577	17623	0	1
2022.03.10	20:00:00	0.73577	0.73674	0.73539	0.73584	6467	0	1
2022.03.11	00:00:00	0.73480	0.73669	0.73366	0.73397	5692	0	2
2022.03.11	04:00:00	0.73398	0.73452	0.73282	0.73381	6738	0	1
2022.03.11	08:00:00	0.73378	0.73565	0.73121	0.73138	14125	0	1
2022.03.11	12:00:00	0.73138	0.73324	0.73059	0.73257	19841	0	1
2022.03.11	16:00:00	0.73257	0.73314	0.73012	0.73019	17401	0	1
2022.03.11	20:00:00	0.73018	0.73100	0.72819	0.72938	8699	0	1
2022.03.14	00:00:00	0.72887	0.72982	0.72675	0.72703	8165	0	2
2022.03.14	04:00:00	0.72703	0.72725	0.72451	0.72471	8063	0	1
2022.03.14	08:00:00	0.72470	0.72600	0.72342	0.72557	13264	0	1
2022.03.14	12:00:00	0.72557	0.72570	0.72272	0.72323	14474	0	1
2022.03.14	16:00:00	0.72325	0.72555	0.72003	0.72005	14443	0	1
2022.03.14	20:00:00	0.72005	0.72078	0.71860	0.71903	7118	0	1
2022.03.15	00:00:00	0.71881	0.72061	0.71654	0.71716	8694	0	2
2022.03.15	04:00:00	0.71717	0.71921	0.71704	0.71820	9178	0	1
2022.03.15	08:00:00	0.71819	0.72041	0.71697	0.71883	16593	0	1
2022.03.15	12:00:00	0.71883	0.72242	0.71860	0.72229	12589	0	1
2022.03.15	16:00:00	0.72227	0.72276	0.71826	0.71867	15041	0	1
2022.03.15	20:00:00	0.71867	0.72016	0.71752	0.71949	5800	0	1
2022.03.16	00:00:00	0.71938	0.72019	0.71805	0.72004	6817	0	2
2022.03.16	04:00:00	0.72004	0.72279	0.71954	0.72255	6055	0	1
2022.03.16	08:00:00	0.72252	0.72356	0.72165	0.72298	13335	0	1
2022.03.16	12:00:00	0.72301	0.72687	0.72267	0.72648	12310	0	1
2022.03.16	16:00:00	0.72651	0.72748	0.72453	0.72486	17819	0	1
2022.03.16	20:00:00	0.72490	0.72968	0.72057	0.72875	26251	0	1
2022.03.17	00:00:00	0.72864	0.73205	0.72811	0.72935	11719	0	2
2022.03.17	04:00:00	0.72935	0.73200	0.72922	0.73121	9991	0	1
2022.03.17	08:00:00	0.73120	0.73342	0.73022	0.73321	12920	0	1
2022.03.17	12:00:00	0.73321	0.73491	0.73203	0.73476	16623	0	1
2022.03.17	16:00:00	0.73476	0.73931	0.73442	0.73913	12544	0	1
2022.03.17	20:00:00	0.73913	0.73913	0.73708	0.73753	4863	0	1
2022.03.18	00:00:00	0.73744	0.73938	0.73716	0.73824	7491	0	2
2022.03.18	04:00:00	0.73824	0.73968	0.73708	0.73943	5901	0	1
2022.03.18	08:00:00	0.73942	0.74090	0.73713	0.73754	11718	0	1
2022.03.18	12:00:00	0.73754	0.73896	0.73604	0.73792	12141	0	1
2022.03.18	16:00:00	0.73793	0.74178	0.73792	0.74143	13793	0	1
2022.03.18	20:00:00	0.74145	0.74151	0.74014	0.74124	4930	0	1
2022.03.21	00:00:00	0.74012	0.74243	0.74011	0.74169	4148	0	4
2022.03.21	04:00:00	0.74154	0.74155	0.73956	0.73995	3643	0	2
2022.03.21	08:00:00	0.73983	0.74070	0.73782	0.73830	7922	0	1
2022.03.21	12:00:00	0.73830	0.74204	0.73737	0.74072	9437	0	1
2022.03.21	16:00:00	0.74074	0.74211	0.73820	0.73960	16991	0	1
2022.03.21	20:00:00	0.73960	0.74031	0.73866	0.73966	6623	0	1
2022.03.22	00:00:00	0.73937	0.74022	0.73755	0.73755	6370	0	2
2022.03.22	04:00:00	0.73755	0.74088	0.73755	0.73908	7913	0	1
2022.03.22	08:00:00	0.73908	0.74197	0.73789	0.74166	10354	0	1
2022.03.22	12:00:00	0.74166	0.74481	0.74098	0.74473	11562	0	1
2022.03.22	16:00:00	0.74473	0.74526	0.74291	0.74495	11175	0	1
2022.03.22	20:00:00	0.74495	0.74711	0.74481	0.74644	4842	0	1
2022.03.23	00:00:00	0.74636	0.74765	0.74502	0.74616	7725	0	2
2022.03.23	04:00:00	0.74616	0.74769	0.74530	0.74621	8282	0	1
2022.03.23	08:00:00	0.74627	0.74814	0.74506	0.74764	10306	0	1
2022.03.23	12:00:00	0.74764	0.74818	0.74532	0.74593	11856	0	1
